date,net_pnl,equity,peak,drawdown,drawdown_pct
2024-10-17,14938.49,5611732.65,5752997.06,141264.41,2.46
2024-10-24,10832.45,5622565.10,5752997.06,130431.96,2.27
2024-10-31,8004.46,5630569.55,5752997.06,122427.51,2.13
2024-11-14,48241.39,5678810.95,5752997.06,74186.11,1.29
2024-11-21,35569.89,5714380.84,5752997.06,38616.22,0.67
2024-11-28,29338.05,5743718.89,5752997.06,9278.17,0.16
2024-12-05,-17462.68,5726256.21,5752997.06,26740.85,0.46
2024-12-12,58681.11,5784937.32,5784937.32,0.00,0.00
2024-12-19,-7218.32,5777718.99,5784937.32,7218.32,0.12
2024-12-26,34523.75,5812242.74,5812242.74,0.00,0.00
2025-01-02,-1951.82,5810290.93,5812242.74,1951.82,0.03
2025-01-09,28526.81,5838817.74,5838817.74,0.00,0.00
2025-01-16,-6388.33,5832429.41,5838817.74,6388.33,0.11
2025-01-23,53417.93,5885847.34,5885847.34,0.00,0.00
2025-01-30,48219.30,5934066.64,5934066.64,0.00,0.00
2025-02-06,60547.55,5994614.20,5994614.20,0.00,0.00
2025-02-13,57839.80,6052453.99,6052453.99,0.00,0.00
2025-02-20,4650.31,6057104.31,6057104.31,0.00,0.00
2025-02-27,94719.42,6151823.73,6151823.73,0.00,0.00
2025-03-06,-49608.65,6102215.08,6151823.73,49608.65,0.81
2025-03-13,16644.83,6118859.91,6151823.73,32963.82,0.54
2025-03-20,-12523.61,6106336.30,6151823.73,45487.43,0.74
2025-03-27,17596.58,6123932.88,6151823.73,27890.85,0.45
2025-04-03,14225.71,6138158.59,6151823.73,13665.14,0.22
2025-04-09,-140994.19,5997164.40,6151823.73,154659.33,2.51
2025-04-17,-47753.62,5949410.78,6151823.73,202412.94,3.29
2025-04-24,32352.52,5981763.30,6151823.73,170060.43,2.76
2025-04-30,50441.31,6032204.61,6151823.73,119619.12,1.94
2025-05-08,20257.09,6052461.70,6151823.73,99362.03,1.62
2025-05-15,-82174.05,5970287.65,6151823.73,181536.08,2.95
2025-05-22,32539.34,6002826.99,6151823.73,148996.73,2.42
2025-05-29,-6429.39,5996397.60,6151823.73,155426.13,2.53
2025-06-05,23315.88,6019713.48,6151823.73,132110.25,2.15
2025-06-12,43723.23,6063436.71,6151823.73,88387.02,1.44
2025-06-19,40441.18,6103877.89,6151823.73,47945.84,0.78
2025-06-26,-22607.92,6081269.96,6151823.73,70553.76,1.15
2025-07-03,23116.74,6104386.70,6151823.73,47437.02,0.77
2025-07-10,32596.14,6136982.84,6151823.73,14840.89,0.24
2025-08-21,32039.80,6169022.64,6169022.64,0.00,0.00
2025-09-02,16853.67,6185876.31,6185876.31,0.00,0.00
2025-11-11,-1810.09,6184066.22,6185876.31,1810.09,0.03
2025-11-18,25487.74,6209553.96,6209553.96,0.00,0.00
2025-11-25,-7410.70,6202143.26,6209553.96,7410.70,0.12
